      P(bar)          T(K)        Rho(k_gm-3)
  5000.00781       740.451          340.89999
  4981.49121       739.732          339.97000
  4963.02490       739.013          339.03000
  4944.60938       738.294          338.10999
  4926.24463       737.575          337.17999
  4907.92969       736.856          336.25000
  4889.66504       736.136          335.32999
  4871.45117       735.417          334.41000
  4853.28711       734.698          333.48999
  4835.17334       733.978          332.57001
  4817.10889       733.258          331.64999
  4799.09473       732.538          330.73001
  4781.13037       731.818          329.82001
  4763.21582       731.098          328.91000
  4745.35059       730.378          328.00000
  4727.53467       729.658          327.09000
  4709.76855       728.938          326.17999
  4692.05127       728.217          325.28000
  4674.38330       727.497          324.37000
  4656.76465       726.776          323.47000
  4639.19482       726.055          322.57001
  4621.67383       725.335          321.67001
  4604.20215       724.614          320.76999
  4586.77881       723.893          319.88000
  4569.40430       723.172          318.98001
  4552.07861       722.450          318.09000
  4534.80078       721.729          317.20001
  4517.57227       721.008          316.31000
  4500.39160       720.286          315.42999
  4483.25879       719.565          314.54001
  4466.17432       718.843          313.66000
  4449.13818       718.121          312.76999
  4432.14990       717.399          311.89001
  4415.20947       716.677          311.01001
  4398.31641       715.955          310.13000
  4381.47119       715.233          309.26001
  4364.67383       714.511          308.39001
  4347.92383       713.789          307.51001
  4331.22168       713.066          306.64001
  4314.56592       712.344          305.76999
  4297.95801       711.621          304.91000
  4281.39746       710.898          304.04001
  4264.88330       710.175          303.17999
  4248.41699       709.453          302.31000
  4231.99658       708.730          301.45001
  4215.62354       708.006          300.59000
  4199.29736       707.283          299.73001
  4183.01758       706.560          298.88000
  4166.78418       705.837          298.01999
  4150.59766       705.113          297.17001
  4134.45752       704.390          296.32001
  4118.36328       703.666          295.47000
  4102.31543       702.942          294.62000
  4086.31323       702.218          293.76999
  4070.35742       701.495          292.92999
  4054.44727       700.771          292.07999
  4038.58325       700.046          291.23999
  4022.76514       699.322          290.39999
  4006.99243       698.598          289.56000
  3991.26538       697.874          288.73001
  3975.58374       697.149          287.89001
  3959.94751       696.424          287.04999
  3944.35645       695.700          286.23001
  3928.81079       694.975          285.39001
  3913.31030       694.250          284.56000
  3897.85474       693.525          283.73999
  3882.44458       692.800          282.91000
  3867.07861       692.075          282.09000
  3851.75806       691.350          281.26999
  3836.48193       690.625          280.44000
  3821.25024       689.899          279.62000
  3806.06348       689.174          278.81000
  3790.92090       688.448          277.98999
  3775.82300       687.723          277.17001
  3760.76904       686.997          276.35999
  3745.75928       686.271          275.54999
  3730.79395       685.545          274.73999
  3715.87256       684.819          273.92999
  3700.99487       684.093          273.12000
  3686.16138       683.367          272.32001
  3671.37158       682.641          271.51001
  3656.62524       681.914          270.70999
  3641.92285       681.188          269.91000
  3627.26367       680.461          269.10999
  3612.64795       679.735          268.31000
  3598.07593       679.008          267.51999
  3583.54688       678.281          266.72000
  3569.06104       677.554          265.92999
  3554.61816       676.827          265.13000
  3540.21851       676.100          264.34000
  3525.86182       675.373          263.56000
  3511.54785       674.646          262.76999
  3497.27686       673.918          261.98999
