      P(bar)          T(K)        Rho(k_gm-3)
  7988.27588       990.564          272.42999
  7976.55566       990.172          272.14001
  7964.84814       989.779          271.85001
  7953.15283       989.387          271.56000
  7941.47021       988.994          271.26999
  7929.80029       988.601          270.97000
  7918.14258       988.209          270.67999
  7906.49707       987.816          270.39001
  7894.86523       987.423          270.10001
  7883.24463       987.031          269.81000
  7871.63721       986.638          269.51999
  7860.04248       986.245          269.23001
  7848.45947       985.852          268.94000
  7836.88965       985.459          268.64999
  7825.33203       985.067          268.35999
  7813.78711       984.674          268.07999
  7802.25391       984.281          267.79001
  7790.73340       983.888          267.50000
  7779.22559       983.495          267.20999
  7767.72998       983.102          266.92001
  7756.24707       982.709          266.63000
  7744.77637       982.316          266.35001
  7733.31787       981.923          266.06000
  7721.87207       981.530          265.76999
  7710.43799       981.137          265.48001
  7699.01709       980.744          265.20001
  7687.60791       980.351          264.91000
  7676.21143       979.958          264.62000
  7664.82666       979.565          264.34000
  7653.45557       979.172          264.04999
  7642.09521       978.779          263.76001
  7630.74805       978.386          263.48001
  7619.41309       977.992          263.19000
  7608.09082       977.599          262.91000
  7596.78027       977.206          262.62000
  7585.48242       976.813          262.34000
  7574.19580       976.420          262.04999
  7562.92236       976.026          261.76999
  7551.66064       975.633          261.48001
  7540.41211       975.240          261.20001
  7529.17480       974.846          260.92001
  7517.95020       974.453          260.63000
  7506.73779       974.060          260.35001
  7495.53711       973.666          260.06000
  7484.34961       973.273          259.78000
  7473.17383       972.880          259.50000
  7462.00977       972.486          259.20999
  7450.85840       972.093          258.92999
  7439.71924       971.699          258.64999
  7428.59131       971.306          258.37000
  7417.47656       970.912          258.09000
  7406.37354       970.519          257.79999
  7395.28271       970.125          257.51999
  7384.20410       969.731          257.23999
  7373.13721       969.338          256.95999
  7362.08301       968.944          256.67999
  7351.04053       968.551          256.39999
  7340.01025       968.157          256.12000
  7328.99219       967.763          255.84000
  7317.98584       967.370          255.56000
  7306.99121       966.976          255.28000
  7296.00977       966.582          255.00000
  7285.03955       966.188          254.72000
  7274.08105       965.794          254.44000
  7263.13525       965.401          254.16000
  7252.20166       965.007          253.88000
  7241.27930       964.613          253.60001
  7230.36914       964.219          253.32001
  7219.47119       963.825          253.03999
  7208.58545       963.431          252.77000
  7197.71143       963.037          252.49001
  7186.84912       962.643          252.21001
  7175.99951       962.250          251.92999
  7165.16162       961.856          251.64999
  7154.33545       961.462          251.38000
  7143.52051       961.068          251.10001
  7132.71875       960.674          250.82001
  7121.92773       960.279          250.55000
  7111.14941       959.885          250.27000
  7100.38281       959.491          249.99001
  7089.62793       959.097          249.72000
  7078.88525       958.703          249.44000
  7068.15430       958.309          249.17000
  7057.43506       957.915          248.89000
  7046.72754       957.521          248.61000
  7036.03223       957.126          248.34000
  7025.34863       956.732          248.06000
  7014.67725       956.338          247.78999
  7004.01660       955.943          247.52000
  6993.36914       955.549          247.24001
  6982.73193       955.155          246.97000
  6972.10840       954.760          246.69000
  6961.49512       954.366          246.42000
  6950.89404       953.972          246.14999
  6940.30469       953.577          245.87000
  6929.72754       953.183          245.60001
  6919.16162       952.789          245.33000
  6908.60791       952.394          245.05000
  6898.06592       952.000          244.78000
  6887.53516       951.605          244.50999
  6877.01611       951.211          244.24001
  6866.50928       950.816          243.96001
  6856.01416       950.421          243.69000
  6845.53027       950.027          243.42000
  6835.05859       949.632          243.14999
  6824.59766       949.238          242.88000
  6814.14893       948.843          242.61000
  6803.71240       948.448          242.34000
  6793.28711       948.054          242.07001
  6782.87354       947.659          241.80000
  6772.47119       947.264          241.53000
  6762.08057       946.869          241.25999
  6751.70264       946.475          240.99001
  6741.33496       946.080          240.72000
  6730.97900       945.685          240.45000
  6720.63574       945.290          240.17999
  6710.30273       944.895          239.91000
  6699.98193       944.501          239.64000
  6689.67285       944.106          239.37000
  6679.37549       943.711          239.10001
  6669.08936       943.316          238.83000
  6658.81396       942.921          238.57001
  6648.55127       942.526          238.30000
  6638.29932       942.131          238.03000
  6628.05957       941.736          237.75999
  6617.83105       941.341          237.50000
  6607.61426       940.946          237.23000
  6597.40869       940.551          236.96001
  6587.21484       940.156          236.69000
  6577.03223       939.761          236.42999
  6566.86084       939.365          236.16000
  6556.70166       938.970          235.89999
  6546.55273       938.575          235.63000
  6536.41650       938.180          235.36000
  6526.29102       937.785          235.10001
  6516.17725       937.389          234.83000
  6506.07471       936.994          234.57001
  6495.98340       936.599          234.30000
  6485.90381       936.204          234.03999
  6475.83545       935.808          233.77000
  6465.77832       935.413          233.50999
  6455.73291       935.018          233.24001
  6445.69922       934.622          232.98000
  6435.67627       934.227          232.72000
  6425.66504       933.831          232.46001
  6415.66504       933.436          232.19000
  6405.67627       933.041          231.92999
  6395.69873       932.645          231.66000
  6385.73242       932.250          231.39999
  6375.77783       931.854          231.14000
  6365.83447       931.458          230.88000
  6355.90186       931.063          230.61000
  6345.98145       930.667          230.35001
  6336.07178       930.272          230.09000
  6326.17334       929.876          229.83000
  6316.28613       929.480          229.57001
  6306.41016       929.085          229.31000
  6296.54590       928.689          229.03999
  6286.69238       928.293          228.78000
  6276.85059       927.898          228.52000
  6267.01953       927.502          228.25999
  6257.20020       927.106          228.00000
  6247.39160       926.710          227.74001
  6237.59424       926.315          227.48000
  6227.80811       925.919          227.22000
  6218.03271       925.523          226.96001
  6208.26953       925.127          226.70000
  6198.51660       924.731          226.44000
  6188.77490       924.335          226.19000
  6179.04492       923.939          225.92000
  6169.32568       923.543          225.67000
  6159.61816       923.147          225.41000
  6149.92041       922.751          225.14999
  6140.23486       922.355          224.89000
  6130.56006       921.959          224.64000
  6120.89648       921.563          224.38000
  6111.24414       921.167          224.12000
  6101.60254       920.771          223.86000
  6091.97266       920.375          223.61000
  6082.35352       919.979          223.35001
  6072.74512       919.583          223.09000
  6063.14746       919.186          222.83000
  6053.56152       918.790          222.58000
  6043.98633       918.394          222.32001
  6034.42236       917.998          222.07001
  6024.86914       917.601          221.81000
