# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681327149505273e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225849
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000570.928990
# J2  =  3509.293304
# J4  =   -35.742893
# J6  =     0.631522
# J8  =    -0.016567
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
     0  2.5389e+07  3.6700e-01  1.0000e+05  
     1  2.5383e+07  2.0433e+01  6.6869e+05  
     2  2.5376e+07  3.9128e+01  2.2977e+06  
     3  2.5370e+07  5.6452e+01  4.9129e+06  
     4  2.5364e+07  7.2407e+01  8.4404e+06  
     5  2.5358e+07  8.6995e+01  1.2806e+07  
     6  2.5352e+07  1.0022e+02  1.7935e+07  
     7  2.5345e+07  1.1207e+02  2.3754e+07  
     8  2.5339e+07  1.2256e+02  3.0189e+07  
     9  2.5333e+07  1.3169e+02  3.7164e+07  
    10  2.5327e+07  1.3946e+02  4.4607e+07  
    11  2.5321e+07  1.4587e+02  5.2441e+07  
    12  2.5314e+07  1.5091e+02  6.0594e+07  
    13  2.5308e+07  1.5460e+02  6.8989e+07  
    14  2.5302e+07  1.5693e+02  7.7554e+07  
    15  2.5296e+07  1.5791e+02  8.6214e+07  
    16  2.5290e+07  1.5792e+02  9.4904e+07  
    17  2.5283e+07  1.5793e+02  1.0360e+08  
    18  2.5277e+07  1.5794e+02  1.1230e+08  
    19  2.5271e+07  1.5796e+02  1.2100e+08  
    20  2.5265e+07  1.5797e+02  1.2971e+08  
    21  2.5259e+07  1.5798e+02  1.3842e+08  
    22  2.5252e+07  1.5799e+02  1.4713e+08  
    23  2.5246e+07  1.5800e+02  1.5585e+08  
    24  2.5240e+07  1.5801e+02  1.6458e+08  
    25  2.5234e+07  1.5802e+02  1.7331e+08  
    26  2.5228e+07  1.5804e+02  1.8204e+08  
    27  2.5221e+07  1.5805e+02  1.9077e+08  
    28  2.5215e+07  1.5806e+02  1.9952e+08  
    29  2.5209e+07  1.5807e+02  2.0826e+08  
    30  2.5203e+07  1.5808e+02  2.1701e+08  
